                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4582,                 3.2255,                 3.8228,                 1.0454,                0.06153,                0.08679,                0.05352,                0.02277,                0.06016,                0.08684,                0.04922,                0.01985,                 1.1672,                 2.9076,                 3.7805,                0.90819,             0.00032867,             0.00032867,             0.00032867
                      2,                  1.419,                 2.7475,                 3.0414,                0.94205,                0.16344,                0.20117,                0.14328,                0.06644,                0.14436,                0.18243,                0.12088,                0.05667,                 1.4094,                 2.6283,                  3.378,                0.92028,             0.00066831,             0.00066831,             0.00066831
                      3,                 1.5066,                 2.6475,                  2.617,                0.93665,                0.29579,                0.37912,                0.28759,                0.15643,                0.25349,                0.32347,                0.24423,                0.12562,                 1.4945,                 2.6459,                 2.5038,                0.93105,              0.0010045,              0.0010045,              0.0010045
                      4,                  1.471,                 2.5814,                 2.3086,                0.93474,                0.36131,                0.42331,                0.33619,                0.20727,                0.33274,                 0.3501,                0.28499,                0.16241,                   1.39,                 2.5886,                 2.1803,                0.92103,              0.0013374,              0.0013374,              0.0013374
                      5,                 1.5371,                 2.6239,                 2.1743,                0.93454,                0.43114,                0.46313,                0.38514,                0.25157,                0.37824,                 0.3966,                0.31941,                0.18011,                 1.4113,                 2.8528,                 1.9119,                 0.9258,              0.0014007,              0.0014007,              0.0014007
                      6,                 1.5801,                 2.6402,                 2.0474,                0.93358,                0.44597,                0.50246,                0.42142,                0.28062,                0.39109,                0.41348,                0.33855,                0.18257,                 1.3418,                 2.6321,                 1.8402,                0.91647,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.4749,                 2.4783,                 1.8743,                0.92795,                0.49763,                0.53864,                0.46436,                0.28879,                0.44722,                0.44966,                0.38402,                0.20674,                 1.3946,                 2.6356,                 1.6305,                0.91499,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.4753,                 2.5009,                  1.757,                0.92433,                0.51985,                0.56565,                0.48826,                0.31798,                0.46409,                0.47897,                0.40809,                0.22083,                 1.2768,                  2.548,                 1.5289,                0.89671,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.4151,                 2.4022,                 1.6289,                0.91561,                0.56793,                0.59612,                0.54693,                0.37645,                0.47851,                0.49184,                0.42716,                0.22662,                 1.1804,                 2.4793,                 1.3887,                0.88328,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.3344,                 2.4344,                  1.523,                0.90593,                0.57299,                0.60362,                0.55604,                0.38442,                0.48818,                0.49772,                0.44333,                 0.2417,                 1.1609,                 2.5483,                 1.3944,                0.88654,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.3549,                  2.363,                 1.4668,                0.90778,                 0.6102,                0.60226,                0.57934,                0.39297,                0.52327,                0.49781,                0.46061,                0.23585,                 1.1888,                 2.2906,                 1.2945,                0.88612,              0.0013653,              0.0013653,              0.0013653
                     12,                 1.3303,                 2.3572,                 1.4367,                0.91517,                0.60589,                 0.6171,                0.58347,                0.38758,                0.55375,                 0.5258,                0.49507,                0.27954,                 1.2297,                 2.5981,                 1.3014,                0.89149,              0.0013583,              0.0013583,              0.0013583
                     13,                 1.3129,                 2.4095,                 1.3978,                0.90944,                0.62262,                0.59697,                0.58095,                0.40873,                0.56006,                0.49199,                0.47355,                0.25177,                  1.132,                 2.2826,                 1.2406,                0.88589,              0.0013512,              0.0013512,              0.0013512
                     14,                 1.3652,                 2.3411,                 1.4117,                0.91424,                0.62643,                0.61962,                 0.5976,                0.41043,                0.53984,                0.48509,                0.46413,                0.23243,                 1.1428,                 2.2081,                 1.2486,                0.88396,              0.0013441,              0.0013441,              0.0013441
                     15,                 1.2967,                 2.3476,                 1.3587,                0.90543,                 0.6126,                0.63739,                0.60446,                0.41329,                0.52688,                0.52316,                0.47965,                0.26179,                 1.0996,                 2.3685,                 1.2629,                0.87911,               0.001337,               0.001337,               0.001337
                     16,                 1.2646,                 2.3032,                 1.3084,                0.90581,                0.61607,                0.62805,                0.60635,                0.42424,                0.54466,                0.51412,                0.49041,                0.26696,                 1.0834,                 2.2569,                 1.2289,                0.88195,                0.00133,                0.00133,                0.00133
                     17,                 1.2503,                  2.263,                 1.2917,                0.90918,                0.62382,                0.62343,                0.61665,                0.42837,                0.54179,                0.50136,                   0.49,                0.25732,                 1.1043,                 2.2982,                 1.2053,                0.88267,              0.0013229,              0.0013229,              0.0013229
                     18,                 1.2669,                 2.3475,                 1.2797,                0.90439,                0.62267,                0.63008,                0.62191,                0.43969,                0.54301,                0.49695,                0.48927,                0.27016,                 1.0701,                 2.2953,                 1.1939,                0.87648,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.2007,                 2.2865,                 1.2573,                 0.9016,                0.63756,                  0.634,                0.63132,                0.45801,                0.56057,                0.50727,                0.50766,                0.28013,                 1.0154,                 2.1667,                 1.1421,                0.87198,              0.0013087,              0.0013087,              0.0013087
                     20,                 1.1358,                 2.1878,                 1.2339,                0.89902,                0.64206,                0.64207,                0.63901,                0.47325,                 0.5653,                0.52455,                0.51985,                0.28835,                0.95988,                 2.1897,                 1.1232,                0.86511,              0.0013017,              0.0013017,              0.0013017
                     21,                 1.1503,                 2.2161,                 1.2235,                0.89965,                0.63262,                0.63423,                0.63722,                0.46127,                0.55157,                0.49987,                0.49562,                0.27092,                 1.0001,                 2.2334,                 1.1275,                0.87038,              0.0012946,              0.0012946,              0.0012946
                     22,                 1.1201,                 2.2235,                 1.1808,                0.89224,                0.65093,                 0.6346,                0.65221,                0.47876,                0.56875,                0.50341,                0.51673,                0.28734,                0.96873,                  2.238,                  1.117,                0.86529,              0.0012875,              0.0012875,              0.0012875
                     23,                 1.1709,                 2.2366,                 1.1512,                0.88664,                0.67529,                0.62966,                0.67766,                0.49784,                   0.59,                0.51143,                0.54494,                0.29806,                0.94928,                 2.1518,                 1.0686,                0.86242,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.1322,                  2.185,                 1.1448,                0.88947,                0.66915,                0.62314,                0.67492,                0.48785,                 0.5893,                0.48463,                0.52581,                0.28036,                0.99804,                 2.1713,                 1.0637,                0.86914,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.1409,                 2.2097,                 1.1115,                 0.8852,                0.65295,                0.62196,                0.66598,                0.47841,                0.56127,                0.48248,                0.50915,                0.27646,                0.99363,                  2.274,                 1.0641,                0.86676,              0.0012663,              0.0012663,              0.0012663
                     26,                 1.1095,                 2.2243,                 1.1015,                 0.8861,                0.66528,                0.61732,                0.67253,                0.50172,                0.58044,                0.49923,                0.53696,                0.29885,                0.92642,                 2.1917,                 1.0579,                0.86307,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.1185,                    2.2,                  1.087,                0.88695,                 0.6385,                0.61116,                0.65944,                0.48383,                0.56389,                0.48834,                0.53264,                0.29127,                0.95925,                 2.2025,                 1.0696,                0.86484,              0.0012522,              0.0012522,              0.0012522
                     28,                  1.055,                 2.2512,                 1.0908,                0.87607,                0.64544,                0.61621,                0.66671,                0.49047,                0.56385,                0.49804,                0.53613,                0.29447,                0.95246,                 2.2539,                 1.0793,                0.86374,              0.0012451,              0.0012451,              0.0012451
