                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7432,                 3.7744,                  4.025,                 1.1282,                0.01488,                0.01951,                0.01059,                0.00474,                0.01999,                0.02735,                0.01378,                0.00521,                 1.1559,                 2.8632,                 3.8653,                 0.9077,             0.00032867,             0.00032867,             0.00032867
                      2,                 1.4442,                 2.8509,                 3.2735,                0.94198,                0.11613,                0.15073,                0.11012,                0.04853,                0.11489,                 0.1563,                0.10608,                0.04971,                 1.4226,                 2.8274,                 3.6031,                0.94428,             0.00066831,             0.00066831,             0.00066831
                      3,                 1.4299,                 2.6971,                  2.696,                0.92309,                 0.2437,                0.32535,                 0.2474,                0.12583,                0.20873,                0.28019,                0.21886,                0.10388,                 1.4586,                 2.5276,                 2.6852,                0.92885,              0.0010045,              0.0010045,              0.0010045
                      4,                 1.4635,                 2.6601,                 2.3436,                 0.9145,                0.40668,                0.39135,                 0.3531,                0.20339,                0.35926,                0.32909,                0.29424,                0.15249,                 1.4473,                 2.7771,                 2.2306,                0.91737,              0.0013374,              0.0013374,              0.0013374
                      5,                 1.4775,                 2.6245,                 2.1532,                0.91819,                0.48397,                0.43712,                0.42133,                0.29266,                 0.4282,                0.37093,                0.34953,                0.21566,                 1.2242,                 2.5916,                 1.7904,                0.89836,              0.0014007,              0.0014007,              0.0014007
                      6,                 1.5232,                 2.5447,                 1.9342,                 0.9092,                0.49115,                0.47062,                0.45327,                0.31486,                0.47956,                 0.3745,                0.37526,                0.22073,                 1.2432,                 2.5202,                 1.6711,                0.89425,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.5685,                 2.5647,                 1.8199,                0.91154,                0.53042,                0.52952,                0.50485,                0.31983,                0.46341,                0.43447,                0.40738,                0.22315,                 1.3333,                 2.5611,                 1.5267,                0.89472,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.4177,                 2.4487,                 1.6846,                0.90107,                0.55389,                0.55254,                 0.5257,                0.34502,                0.48462,                0.46926,                0.43973,                0.27418,                  1.269,                 2.4699,                 1.4528,                0.88708,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.3842,                 2.4677,                 1.5713,                0.89365,                 0.5927,                0.57325,                0.55656,                0.36829,                0.52154,                0.47299,                 0.4494,                0.25698,                 1.2505,                 2.3966,                 1.3833,                0.89641,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.3781,                 2.4212,                 1.5193,                0.90185,                0.60314,                0.60517,                0.57439,                0.36496,                0.55287,                0.49704,                0.47533,                0.27306,                 1.3199,                 2.6101,                 1.3597,                0.89749,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.3603,                 2.3531,                 1.4367,                 0.8928,                0.62009,                0.60078,                0.58865,                0.40372,                0.56726,                0.48535,                 0.4726,                0.25669,                 1.1392,                 2.2682,                 1.2537,                0.88022,              0.0013653,              0.0013653,              0.0013653
                     12,                 1.3244,                 2.2822,                 1.3678,                0.89127,                0.64544,                0.60257,                0.60305,                0.41947,                0.56806,                0.50045,                0.48718,                0.28001,                 1.1154,                 2.2682,                 1.2305,                0.87669,              0.0013583,              0.0013583,              0.0013583
                     13,                 1.2541,                 2.3264,                 1.3219,                0.88512,                0.64709,                0.62559,                0.62827,                0.43669,                0.54985,                0.50784,                0.49421,                0.28378,                 1.1111,                 2.3794,                 1.1967,                0.86956,              0.0013512,              0.0013512,              0.0013512
                     14,                 1.2948,                 2.3068,                 1.2676,                 0.8889,                0.65649,                0.62184,                0.62629,                0.44011,                0.57597,                0.49886,                0.49928,                0.27647,                  1.066,                 2.3212,                 1.1573,                0.86967,              0.0013441,              0.0013441,              0.0013441
                     15,                 1.2446,                 2.2183,                 1.2513,                0.88695,                0.65131,                0.62697,                0.63521,                0.43875,                0.57212,                 0.5132,                 0.5165,                0.30091,                 1.0756,                 2.3593,                 1.1272,                0.86775,               0.001337,               0.001337,               0.001337
                     16,                 1.1716,                 2.2655,                 1.2363,                0.88402,                0.65492,                0.63826,                0.65093,                0.46281,                 0.5812,                0.50739,                 0.5208,                0.30853,                 1.0137,                 2.2909,                 1.1097,                0.85661,                0.00133,                0.00133,                0.00133
                     17,                 1.1723,                 2.1783,                 1.1635,                0.88115,                0.65743,                0.64333,                0.65937,                0.46681,                0.56014,                 0.5173,                0.52671,                0.29843,                 1.0153,                  2.244,                 1.0914,                0.85907,              0.0013229,              0.0013229,              0.0013229
                     18,                 1.1458,                 2.2872,                 1.1632,                0.87457,                0.64809,                0.63894,                0.65207,                0.46443,                0.57459,                0.52227,                0.53363,                0.31777,                0.99668,                 2.2685,                 1.1128,                0.86059,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.1011,                 2.1858,                 1.1296,                0.87766,                0.64846,                0.63828,                0.65439,                0.46763,                0.57391,                  0.493,                  0.519,                0.29169,                 1.0208,                 2.2851,                 1.0536,                0.86332,              0.0013087,              0.0013087,              0.0013087
                     20,                 1.1685,                 2.2351,                 1.1351,                0.88161,                0.64756,                0.64644,                0.66404,                0.46489,                0.56871,                0.49609,                0.52397,                0.29644,                 1.0314,                 2.2863,                 1.0415,                0.86479,              0.0013017,              0.0013017,              0.0013017
                     21,                 1.1202,                 2.2825,                 1.1149,                0.87069,                0.66993,                0.65189,                0.68126,                0.48551,                0.58689,                0.51906,                0.53873,                0.29811,                0.95912,                 2.2122,                 1.0545,                0.85593,              0.0012946,              0.0012946,              0.0012946
                     22,                 1.0689,                 2.1707,                 1.1001,                0.87302,                0.68396,                0.64278,                0.69105,                0.49056,                0.60213,                0.51135,                 0.5517,                0.30229,                0.98229,                  2.244,                 1.0254,                0.85794,              0.0012875,              0.0012875,              0.0012875
                     23,                 1.0692,                  2.127,                 1.0509,                0.88024,                0.65072,                0.64175,                 0.6828,                0.50253,                0.57638,                0.50499,                0.55289,                0.33456,                0.91906,                 2.2303,                 1.0123,                 0.8516,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.0691,                 2.1227,                 1.0375,                0.86789,                0.66114,                0.64214,                0.68774,                 0.4955,                0.57449,                0.49673,                0.54658,                0.30625,                0.92945,                 2.1202,                0.99981,                0.85157,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.0493,                 2.1138,                 1.0198,                0.86669,                0.69447,                0.64445,                0.70003,                0.48901,                0.61143,                0.51622,                0.55689,                0.29747,                0.96383,                 2.3052,                 1.0052,                0.85444,              0.0012663,              0.0012663,              0.0012663
                     26,                 1.0762,                 2.1962,                 1.0049,                0.86419,                0.69668,                0.65285,                0.70723,                0.51241,                0.61436,                0.52246,                0.56675,                0.31235,                  0.904,                 2.2196,                0.96658,                0.85005,              0.0012592,              0.0012592,              0.0012592
                     27,                 1.0509,                 2.1023,                0.99991,                0.86572,                0.68713,                0.62906,                 0.6936,                0.50895,                0.59401,                0.50766,                0.56405,                0.33001,                0.91968,                  2.095,                0.95731,                0.85663,              0.0012522,              0.0012522,              0.0012522
                     28,                 1.0614,                 2.1895,                 1.0259,                0.87205,                0.68916,                0.64462,                0.70775,                0.51199,                0.60352,                0.51501,                0.57377,                 0.3348,                0.95326,                 2.2917,                0.96337,                0.85303,              0.0012451,              0.0012451,              0.0012451
                     29,                  1.066,                 2.1473,                0.99185,                0.86946,                0.67501,                0.64729,                0.70908,                0.50133,                0.59716,                0.51846,                0.56131,                0.29807,                0.97546,                 2.2129,                 1.0333,                0.85429,               0.001238,               0.001238,               0.001238
                     30,                 1.0576,                 2.1248,                0.98652,                 0.8626,                0.69171,                0.66237,                0.72701,                0.53314,                0.62469,                0.53317,                0.58367,                0.32763,                0.88533,                 2.1426,                 0.9886,                0.84642,              0.0012309,              0.0012309,              0.0012309
                     31,                 1.0018,                 2.1267,                0.95627,                0.86216,                0.73564,                0.66792,                0.73606,                0.54821,                0.63689,                0.53253,                0.59057,                0.34168,                0.87572,                 2.1409,                0.91079,                0.84457,              0.0012239,              0.0012239,              0.0012239
                     32,                 1.0174,                 2.0778,                 0.9663,                0.86482,                0.72381,                0.65458,                0.72567,                0.51976,                0.64306,                0.50695,                0.57252,                0.31566,                0.96791,                 2.1557,                0.92817,                0.85664,              0.0012168,              0.0012168,              0.0012168
                     33,                 1.0089,                 1.9845,                0.92699,                0.86328,                0.73373,                0.67205,                0.74477,                0.54752,                0.65589,                0.53564,                0.60493,                0.34508,                0.88757,                 2.1225,                0.89288,                0.84548,              0.0012097,              0.0012097,              0.0012097
                     34,                 1.0349,                 2.0015,                0.92673,                0.86372,                0.72936,                0.67609,                0.74708,                0.54926,                0.66026,                0.53308,                0.60559,                0.34129,                0.88086,                  2.136,                0.90292,                0.84492,              0.0012026,              0.0012026,              0.0012026
                     35,                 1.0535,                 2.0351,                0.96156,                0.86354,                0.73467,                0.65801,                0.73681,                0.53306,                0.65013,                0.53206,                0.59615,                0.33273,                0.93735,                 2.1511,                0.93826,                0.85078,              0.0011956,              0.0011956,              0.0011956
                     36,                 1.0538,                 2.0915,                0.94248,                0.86611,                 0.7507,                0.66471,                0.74828,                0.53935,                0.65298,                  0.548,                0.60592,                0.33542,                0.93823,                 2.1833,                0.90945,                0.84852,              0.0011885,              0.0011885,              0.0011885
                     37,                 1.0652,                 2.1018,                 0.9503,                0.86194,                0.75055,                0.66402,                0.74784,                0.54686,                0.66606,                0.54274,                0.60822,                  0.341,                0.87771,                 2.0859,                0.88774,                0.84703,              0.0011814,              0.0011814,              0.0011814
                     38,                 1.0033,                 2.0992,                0.93106,                0.86023,                0.74761,                0.67828,                0.75735,                0.55898,                0.66991,                0.55365,                0.62089,                0.36188,                0.87649,                 2.0583,                0.87183,                0.84505,              0.0011744,              0.0011744,              0.0011744
                     39,                 1.0378,                 2.0916,                0.94702,                0.86185,                0.75431,                0.68994,                0.76709,                0.55398,                0.64129,                0.54776,                0.60407,                0.32087,                0.92505,                 2.0072,                0.86328,                0.84735,              0.0011673,              0.0011673,              0.0011673
                     40,                 1.0051,                 1.9379,                0.90762,                0.85381,                0.75375,                0.68779,                0.76334,                0.54984,                0.64811,                0.54022,                 0.6015,                0.32183,                0.89492,                 2.0158,                0.86247,                 0.8448,              0.0011602,              0.0011602,              0.0011602
                     41,                 1.0271,                 1.9721,                0.90625,                0.85933,                0.77227,                0.67498,                0.76274,                0.56482,                0.66599,                0.55143,                0.61369,                0.35279,                0.85498,                 2.0282,                0.86425,                0.84003,              0.0011531,              0.0011531,              0.0011531
                     42,                0.98948,                 1.9751,                0.90189,                0.85623,                0.75361,                0.68109,                0.75675,                0.55779,                0.65889,                 0.5502,                0.61434,                 0.3412,                0.90006,                 1.9805,                0.86323,                0.84592,              0.0011461,              0.0011461,              0.0011461
                     43,                 1.0325,                 1.9899,                0.90756,                0.85823,                0.73358,                0.66708,                0.75246,                0.56456,                0.64355,                0.56041,                0.62508,                0.37001,                0.83358,                 2.0676,                0.90365,                 0.8371,               0.001139,               0.001139,               0.001139
                     44,                0.99203,                 2.0118,                0.89961,                0.85318,                0.75031,                0.68505,                0.76241,                0.56545,                0.64855,                0.55246,                0.61323,                0.34707,                0.84534,                 2.0552,                0.88134,                0.83825,              0.0011319,              0.0011319,              0.0011319
                     45,                0.96082,                 1.9726,                0.88519,                0.85247,                0.76215,                0.69907,                0.77214,                0.56654,                0.65968,                0.54829,                0.61241,                0.33486,                0.86344,                 2.0333,                0.84327,                0.84066,              0.0011248,              0.0011248,              0.0011248
                     46,                0.95441,                 2.0283,                0.87608,                0.85059,                 0.7632,                0.69086,                 0.7724,                0.58162,                0.69147,                0.55116,                0.62927,                0.36047,                0.82293,                 2.1125,                0.87375,                0.83614,              0.0011178,              0.0011178,              0.0011178
                     47,                0.97436,                 2.0296,                0.88933,                0.85242,                0.76748,                0.69884,                 0.7752,                0.58317,                0.67347,                0.55001,                 0.6231,                0.35579,                0.83513,                 1.9859,                0.84369,                0.83793,              0.0011107,              0.0011107,              0.0011107
                     48,                0.95666,                 1.9445,                0.87899,                0.85237,                0.77163,                0.69095,                0.77334,                0.58437,                0.67772,                0.55099,                0.62572,                0.35789,                0.82124,                 2.0042,                0.84319,                0.83679,              0.0011036,              0.0011036,              0.0011036
                     49,                0.97853,                 1.9821,                0.86152,                0.84613,                0.76296,                0.69476,                0.77384,                0.57221,                0.67394,                 0.5484,                0.61938,                 0.3431,                0.87057,                 2.0311,                0.85022,                0.84273,              0.0010965,              0.0010965,              0.0010965
                     50,                0.95458,                 1.9729,                0.86365,                0.85275,                0.77997,                0.68518,                0.76958,                0.57615,                0.66969,                 0.5602,                0.62125,                0.35862,                0.84642,                 2.1499,                0.84418,                0.84042,              0.0010895,              0.0010895,              0.0010895
                     51,                0.95412,                 1.9981,                0.87179,                0.85195,                 0.7637,                0.69566,                0.77058,                0.56454,                0.67623,                0.54875,                0.61799,                0.34109,                0.89182,                 2.0211,                 0.8447,                0.84443,              0.0010824,              0.0010824,              0.0010824
                     52,                0.95848,                 1.9566,                0.86202,                0.85434,                0.76113,                0.69664,                0.77047,                0.54602,                0.68434,                0.54535,                0.61738,                0.34068,                0.94918,                 2.1437,                0.84304,                0.84637,              0.0010753,              0.0010753,              0.0010753
                     53,                0.99167,                 1.9894,                0.86176,                0.85346,                0.75575,                0.68886,                0.75307,                0.56089,                0.63451,                0.54753,                0.59515,                0.34047,                 0.8411,                 2.0361,                 0.8513,                0.83836,              0.0010682,              0.0010682,              0.0010682
                     54,                0.96795,                 1.8963,                0.83963,                0.85201,                0.77241,                0.69692,                0.76479,                0.57298,                0.63618,                0.55425,                0.59943,                0.33766,                0.82314,                 1.9909,                0.84834,                0.83564,              0.0010612,              0.0010612,              0.0010612
                     55,                0.96181,                  1.993,                0.85491,                0.84926,                0.77725,                0.69594,                0.77739,                0.58535,                0.68342,                  0.566,                0.63099,                0.36082,                0.83713,                 1.9728,                0.82448,                0.83655,              0.0010541,              0.0010541,              0.0010541
                     56,                0.93668,                 1.9022,                0.83917,                 0.8472,                0.76749,                0.69777,                0.77492,                0.57952,                0.68443,                0.55113,                0.62556,                0.34914,                 0.8416,                 1.9346,                0.81657,                0.83933,               0.001047,               0.001047,               0.001047
                     57,                0.95566,                  1.947,                0.83451,                0.84327,                0.77159,                0.69127,                0.77981,                0.57793,                0.68731,                0.54122,                0.61441,                0.34627,                0.81945,                 2.0106,                0.83481,                0.83218,                0.00104,                0.00104,                0.00104
                     58,                0.95031,                  1.955,                0.85057,                0.84557,                0.75558,                0.70564,                0.78397,                0.58823,                 0.6859,                0.55886,                0.63316,                0.36446,                0.80793,                 2.0325,                0.84412,                0.83054,              0.0010329,              0.0010329,              0.0010329
                     59,                0.95429,                 1.8708,                0.81424,                0.84509,                0.77402,                0.70501,                0.78275,                0.58633,                0.68439,                0.57233,                0.63769,                0.35736,                0.82935,                 1.9428,                0.80963,                0.83923,              0.0010258,              0.0010258,              0.0010258
                     60,                0.93606,                  1.911,                0.82364,                0.84435,                0.78316,                 0.6986,                0.78283,                0.59379,                0.67716,                0.57923,                0.63767,                0.37229,                  0.805,                 1.9709,                0.80396,                0.83579,              0.0010187,              0.0010187,              0.0010187
                     61,                0.92147,                  1.897,                0.83273,                0.85004,                0.79398,                0.70082,                0.78941,                0.58438,                0.67212,                0.55928,                0.62125,                0.34047,                 0.8493,                 2.0047,                0.81417,                0.83683,              0.0010117,              0.0010117,              0.0010117
                     62,                0.92785,                  1.874,                0.81867,                0.84288,                 0.7895,                0.70563,                0.79009,                0.57996,                0.67854,                0.56789,                0.63192,                0.34421,                0.87218,                 1.9771,                 0.8104,                0.84115,              0.0010046,              0.0010046,              0.0010046
                     63,                0.96137,                 1.9172,                 0.8533,                0.85456,                 0.7844,                 0.7068,                0.79098,                0.59536,                0.69758,                 0.5873,                0.65736,                 0.3896,                0.80505,                 2.0557,                0.82143,                0.83406,             0.00099751,             0.00099751,             0.00099751
                     64,                0.96614,                 1.9024,                0.81719,                0.84583,                0.78863,                0.70397,                0.78856,                0.60258,                0.68769,                0.57667,                0.64394,                0.37256,                0.78813,                 2.0383,                0.81559,                0.83334,             0.00099044,             0.00099044,             0.00099044
                     65,                 1.0059,                 2.0123,                0.86058,                 0.8452,                0.76963,                0.70685,                0.78514,                0.56709,                0.64954,                0.54904,                0.60886,                0.32974,                0.90823,                  2.033,                0.83385,                0.84216,             0.00098337,             0.00098337,             0.00098337
                     66,                0.99882,                 1.9475,                0.86084,                0.85009,                0.76918,                0.70643,                0.78359,                0.58326,                0.64921,                0.55818,                0.61695,                0.34962,                0.84741,                 1.9929,                0.82022,                0.83811,             0.00097629,             0.00097629,             0.00097629
                     67,                0.95041,                 1.9055,                0.82159,                0.84633,                0.75788,                0.70053,                0.77134,                0.58774,                0.66987,                0.56676,                0.63211,                0.37594,                 0.8117,                 1.9014,                0.80081,                0.83794,             0.00096922,             0.00096922,             0.00096922
                     68,                 1.0016,                 1.8925,                0.84241,                0.84816,                 0.7689,                0.69791,                0.77827,                0.58692,                0.67302,                0.56262,                0.63036,                0.36164,                0.83939,                 1.9185,                0.80716,                0.83944,             0.00096215,             0.00096215,             0.00096215
                     69,                0.93833,                 1.8863,                0.82142,                0.84293,                0.77178,                0.71311,                0.78702,                0.58207,                 0.6767,                0.54901,                0.61107,                0.34006,                0.84011,                 2.0924,                0.84416,                0.83661,             0.00095507,             0.00095507,             0.00095507
                     70,                0.95094,                 1.9181,                0.83565,                0.84687,                 0.7973,                0.71249,                0.79749,                0.60421,                 0.6914,                0.56619,                0.63155,                0.36507,                 0.7978,                 1.9729,                0.79544,                0.83337,               0.000948,               0.000948,               0.000948
                     71,                0.91784,                 1.8871,                0.82224,                0.84591,                0.77909,                0.71069,                0.79214,                 0.5929,                0.68583,                0.56476,                 0.6353,                0.34886,                0.84079,                 1.9597,                0.80146,                0.83999,             0.00094093,             0.00094093,             0.00094093
                     72,                0.94269,                 1.8314,                0.82362,                 0.8518,                0.77492,                0.70483,                0.78522,                0.58994,                0.68416,                 0.5695,                0.63809,                0.35377,                0.82516,                 1.9575,                  0.811,                0.83886,             0.00093385,             0.00093385,             0.00093385
                     73,                  0.924,                 1.8996,                0.82065,                0.84843,                0.80655,                0.71806,                0.80414,                0.60803,                0.70071,                0.58467,                0.65023,                0.38087,                0.81462,                 1.9934,                0.78926,                0.83473,             0.00092678,             0.00092678,             0.00092678
                     74,                0.92228,                 1.8998,                0.81196,                0.84669,                0.80152,                0.72065,                0.80495,                0.60462,                0.68856,                 0.5753,                0.63793,                0.35751,                0.81653,                 1.9576,                0.78626,                0.83579,              0.0009197,              0.0009197,              0.0009197
                     75,                0.95237,                 1.8784,                 0.8237,                0.85152,                0.78542,                0.71071,                 0.7906,                0.58879,                0.69039,                0.56012,                0.63025,                0.34043,                0.84607,                 1.9534,                0.79087,                0.84054,             0.00091263,             0.00091263,             0.00091263
