                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.588,                 3.5594,                 3.9631,                 1.1003,                 0.0783,                0.10965,                0.06796,                0.02991,                0.08012,                0.11153,                0.06689,                0.03109,                 1.1887,                 2.9424,                 3.8021,                0.90792,             0.00032867,             0.00032867,             0.00032867
                      2,                 1.4286,                 2.8536,                 3.2122,                0.94879,                0.14279,                0.18106,                0.11853,                0.05099,                0.13109,                0.16933,                0.10633,                 0.0508,                 1.6218,                 2.7104,                 3.4813,                0.95982,             0.00066831,             0.00066831,             0.00066831
                      3,                 1.4809,                 2.8227,                 2.7335,                0.94261,                0.26978,                0.35812,                0.26239,                0.13508,                0.22927,                0.30497,                0.22453,                0.10487,                 1.5735,                 2.7936,                 2.5953,                0.94291,              0.0010045,              0.0010045,              0.0010045
                      4,                  1.542,                 2.8287,                 2.4102,                0.93573,                0.37425,                0.41347,                0.33445,                0.18422,                0.32602,                 0.3438,                0.27621,                0.13202,                 1.5477,                 2.6781,                 2.1925,                0.93964,              0.0013374,              0.0013374,              0.0013374
                      5,                 1.4945,                 2.5806,                 2.2437,                0.93322,                0.38669,                0.51184,                0.40133,                0.25865,                0.33658,                 0.4418,                 0.3368,                0.20553,                 1.3648,                 2.8039,                 1.8116,                0.91394,              0.0014007,              0.0014007,              0.0014007
                      6,                 1.6501,                 2.6698,                 2.0333,                0.93934,                0.40425,                0.52283,                0.41537,                0.28243,                0.38065,                0.40554,                 0.3412,                0.19582,                 1.3036,                 2.6128,                 1.7126,                0.91301,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.6317,                 2.5873,                  1.933,                0.93282,                0.47235,                0.54237,                0.45264,                 0.2869,                0.42007,                0.46664,                0.38105,                0.20876,                 1.3711,                 2.5719,                 1.6446,                0.91305,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.4983,                 2.5259,                 1.7834,                0.92392,                 0.5035,                0.55671,                0.47769,                0.30118,                0.45724,                0.49143,                 0.4162,                0.25454,                 1.3447,                 2.5795,                 1.5916,                0.90105,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.4799,                 2.4816,                 1.6744,                0.91257,                0.56459,                0.56491,                0.53273,                0.36438,                0.49123,                0.47618,                0.43206,                0.23972,                 1.2122,                 2.3702,                 1.4301,                0.88943,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.4001,                 2.4558,                 1.6244,                0.91383,                0.57338,                0.58751,                 0.5427,                0.35298,                0.50455,                0.49283,                0.44443,                0.24897,                 1.2749,                 2.4992,                 1.4344,                0.89007,              0.0013724,              0.0013724,              0.0013724
                     11,                 1.4578,                 2.4097,                 1.5647,                0.91844,                0.58982,                 0.5897,                0.56818,                0.39191,                0.51898,                0.50462,                0.46866,                 0.2572,                 1.1641,                 2.3141,                 1.3451,                 0.8931,              0.0013653,              0.0013653,              0.0013653
                     12,                 1.3574,                 2.3239,                 1.4733,                0.90877,                0.59065,                0.60751,                 0.5827,                0.40706,                0.52166,                0.51785,                0.48443,                0.27823,                 1.1224,                  2.314,                 1.3056,                0.88291,              0.0013583,              0.0013583,              0.0013583
                     13,                 1.3025,                 2.3772,                 1.4129,                0.89928,                0.62081,                0.61014,                0.60493,                0.42569,                0.54631,                 0.5113,                0.48916,                0.27601,                 1.0882,                  2.383,                 1.2661,                0.87831,              0.0013512,              0.0013512,              0.0013512
                     14,                 1.3467,                 2.3413,                 1.3763,                0.90586,                 0.6337,                0.61186,                0.60589,                0.41607,                 0.5689,                0.52019,                0.50308,                0.27204,                 1.1339,                 2.3019,                 1.2373,                0.88867,              0.0013441,              0.0013441,              0.0013441
                     15,                 1.2855,                 2.2415,                 1.3416,                0.90394,                0.63216,                0.62013,                 0.6262,                0.43202,                0.55963,                 0.5124,                0.51011,                0.28713,                 1.1209,                  2.374,                 1.2384,                0.88073,               0.001337,               0.001337,               0.001337
                     16,                 1.2263,                 2.3545,                 1.3397,                0.90437,                0.63777,                 0.6119,                0.62717,                0.44586,                0.55826,                0.50246,                 0.5039,                0.29029,                  1.059,                 2.3035,                 1.2113,                0.87339,                0.00133,                0.00133,                0.00133
                     17,                 1.2145,                 2.2135,                  1.258,                0.89695,                0.64289,                0.63333,                0.63694,                0.45581,                0.57055,                0.52629,                 0.5217,                0.29552,                 1.0215,                 2.2528,                 1.1604,                0.87358,              0.0013229,              0.0013229,              0.0013229
                     18,                 1.1591,                 2.3265,                 1.2366,                0.88486,                0.64029,                0.62369,                0.63244,                0.45892,                0.56873,                0.52583,                0.52416,                 0.3074,                0.98865,                 2.2455,                 1.1718,                0.87085,              0.0013158,              0.0013158,              0.0013158
                     19,                 1.1497,                 2.2254,                 1.2232,                0.89863,                 0.6256,                0.63897,                0.63697,                0.45289,                0.54944,                0.52617,                0.52358,                 0.3118,                  1.063,                 2.2855,                 1.1324,                0.87819,              0.0013087,              0.0013087,              0.0013087
                     20,                  1.224,                 2.2822,                 1.2389,                 0.8996,                0.64203,                0.62265,                0.64437,                 0.4557,                0.57756,                0.50685,                0.52315,                0.30386,                  1.021,                 2.2517,                 1.1159,                0.87437,              0.0013017,              0.0013017,              0.0013017
                     21,                  1.169,                 2.2808,                 1.1998,                0.88694,                0.66022,                0.62374,                0.65524,                0.46604,                0.59705,                0.51871,                0.53717,                0.29376,                0.97932,                 2.2205,                 1.1177,                0.86992,              0.0012946,              0.0012946,              0.0012946
                     22,                 1.1476,                 2.2366,                 1.1947,                0.89531,                0.66142,                0.63349,                0.66646,                0.45983,                0.60015,                0.53205,                0.55833,                0.32508,                 1.0648,                 2.3406,                  1.111,                0.87677,              0.0012875,              0.0012875,              0.0012875
                     23,                   1.16,                 2.2231,                 1.1511,                0.90783,                0.62901,                0.62441,                0.65782,                0.47758,                0.55905,                0.49928,                0.53889,                 0.3073,                0.97196,                 2.1333,                 1.0785,                0.86945,              0.0012805,              0.0012805,              0.0012805
                     24,                 1.1316,                 2.1528,                 1.1222,                0.88843,                0.63046,                0.62243,                0.66521,                0.47962,                0.55981,                0.50411,                 0.5427,                 0.3023,                0.96834,                 2.1084,                 1.0738,                0.86713,              0.0012734,              0.0012734,              0.0012734
                     25,                 1.0867,                 2.1771,                 1.0932,                0.88387,                0.66536,                0.63594,                0.68649,                0.49027,                0.58677,                0.51562,                0.55315,                0.30401,                 0.9784,                 2.2396,                 1.0823,                0.86729,              0.0012663,              0.0012663,              0.0012663
